x_index,y_index,X,Y,population_density
0,46,69.1138543,22.088133475,0.0
0,47,69.02499743846154,22.31252698846154,454.88623
0,48,69.04074872727273,22.443741727272727,0.0
0,50,69.00865935555555,23.1615091,556.656356
1,46,69.2755485,22.07196185,1546.69301
1,47,69.33965421428572,22.1917339,1298.06836
1,49,69.37049125,22.84569335,194.2754
1,50,69.42135275,23.203347883333333,264.647492
2,45,69.67413516470589,21.6710882,5607.15278
2,46,69.5923673,21.9153252,454.15482
2,47,69.67415821333334,22.23227504,3397.78303
2,49,69.66654823478261,22.805761869565217,5405.2791
2,50,69.68348682222222,23.237421544444445,795.685436
2,51,69.6616587,23.4320851,22.102373
2,52,69.61507555,23.74748215,44.204747999999995
2,58,69.74786195,25.5158317,0.0
3,45,69.8404418125,21.7544448625,1183.24904
3,46,69.88687016666667,21.914515180000002,2024.37974
3,47,69.889497225,22.350223188461538,18772.69984
3,48,70.01201216,22.46813798,30899.62852
3,49,69.89731756666667,22.942515224999998,5460.82356
3,50,70.00158476666667,23.113736564583334,16904.346365
3,58,69.9054379,25.5623631,0.0
4,42,70.3754619,20.90826055,0.0
4,43,70.33837006333333,20.992098676666668,5432.06922
4,44,70.31828824,21.3734453,3160.27912
4,45,70.26840466666665,21.750101966666666,1036.55012
4,46,70.20562166666666,21.856772366666664,975.52485
4,48,70.18198551666666,22.456983016666666,12935.874536
4,49,70.19010387916667,22.980744625,1092.56512
4,50,70.17591816756756,23.06837120990991,57961.30123
4,59,70.29254607142857,25.746872685714287,130.651664
4,61,70.26541800000001,26.48770205,27.560344
4,65,70.1563008,27.5229198,13.780174
5,42,70.52689624285713,20.856043085714283,1344.1990799999999
5,43,70.50752510434782,21.025489395652176,7531.6039200000005
5,44,70.55695822727273,21.428457145454544,17272.4393
5,45,70.48820906382979,21.594832176595744,25956.36044
5,46,70.6837779,21.8210843,437.39044
5,47,70.673712,22.3692714,145.68788
5,48,70.57645929333333,22.605890813333335,7123.219428
5,49,70.59273385294118,22.94375995294118,1622.609554
5,50,70.52824813076923,23.27514046923077,1347.089436
5,51,70.54218064347826,23.345359826086955,2286.785538
5,58,70.6585809,25.4331489,0.0
5,59,70.53617781666667,25.74454175,174.20222
