X,Y
94.4568822,28.5132923
91.6545415,26.1124743
91.6597447,26.1124196
91.6865537,26.2056505
91.6860956,26.197286
91.6888752,26.235324
91.6913799,26.2538808
91.7031264,26.2938928
91.6871524,26.1666489
91.7361112,26.1740236
91.8348147,26.1823453
91.8390918,26.1482599
91.8335343,26.1520803
91.8331732,26.1542913
91.832779,26.1639551
91.8582118,26.20402
91.749595,26.1115758
91.7865932,26.1441089
92.9906103,26.5832889
92.6813108,26.3489787
92.6342703,24.8288221
92.5818569,24.8737835
92.7762748,24.8328205
92.590801,24.9279043
92.2019195,25.2566706
91.7495328,26.1116795
91.6861163,26.1959404
89.9962746,26.4305563
93.3070003,25.7582337
92.6809571,26.1615027
91.9786221,26.1746599
92.6025978,26.2023571
92.5489273,26.2004471
92.4519795,26.2099077
93.3130713,25.7591625
91.6139268,26.4438295
92.4298321,26.2051235
91.6211847,26.4501902
95.221058,27.4993216
93.8509627,26.1480021
95.3522676,27.4834842
95.1730809,27.4825985
94.528747,26.8184392
95.0655659,27.4584197
95.0357789,27.458805
95.2950173,27.4781628
94.6846469,26.8849161
95.0674357,27.458741
95.0411089,27.4598545
95.3094777,27.4773046
93.7352818,25.9348862
95.1847875,27.4901949
93.7640814,25.987375
95.1945476,27.4947584
94.6789621,26.9789382
95.0141907,27.4560499
95.2249713,27.4983308
94.1855882,26.5958543
94.7780481,27.649113
94.8915655,27.7259248
91.6253989,23.8626189
94.3417024,27.4398627
94.0262438,27.1984051
95.3742316,27.4863781
95.3262812,27.4779463
95.5626365,27.6985367
95.5635366,27.6568325
92.89009,26.8120143
93.0074189,26.7567679
92.8404657,26.8116722
91.9114027,26.6583302
92.7013978,26.8239896
93.9100133,27.1320798
92.1882758,26.7293638
91.9902793,26.7265679
92.1668478,26.735383
92.8822929,26.8137181
93.0287008,26.7473117
93.8301607,26.9966199
93.7988227,26.9414765
92.292505,26.7908401
89.8354268,26.4699727
89.7948349,26.1367283
92.3613404,24.6763836
92.2932699,24.8268574
92.4528127,24.8569451
92.3693214,24.8615463
92.3321222,24.8552426
92.4065768,24.5744833
92.5347076,24.8560999
92.323434,24.6161881
92.3376024,24.8558077
92.4501804,24.8564214
92.3110757,24.8355647
92.426579,24.508815
92.3590072,24.8600018
92.2973584,24.583786
92.9179706,24.8225619
93.9051817,26.5514166
94.1192831,26.6670034
94.046835,26.6686302
93.9854247,26.6695164
93.8661429,26.6424582
94.1175583,26.6669448
94.0341395,26.6695785
94.0564549,26.6737194
92.6051281,24.9438294
93.1063682,25.5002087
92.6461691,26.9946759
92.6968475,26.9800292
92.7879221,26.8554956
92.6786151,26.9821761
92.7395587,26.4191797
92.7082436,26.3451628
92.4471797,26.4515074
92.443893,26.4511614
92.5756096,26.467577
92.6896378,26.4346832
92.8172053,26.3867091
92.615867,26.4427717
94.9461034,27.4712908
96.0706018,27.8080358
95.3160574,27.3534419
95.3173479,27.3486058
92.1405112,24.2092169
90.5271204,26.475174
90.5031452,26.4701834
94.9291853,27.4582312
94.9054086,27.4410841
95.0171225,27.4567547
94.9532485,27.4694513
94.9467149,27.4720166
94.9417029,27.4743341
92.6953521,26.347551
92.6737841,26.3582148
92.6693134,26.34984
92.6887919,26.3414082
94.9323974,27.1985039
91.7144962,23.8873889
91.797915,26.1283177
92.8239491,25.7413589
91.7852979,26.1496491
91.7851465,26.14999
91.8982631,25.5690547
91.8865659,25.5656962
91.8975806,25.5659429
91.8895298,25.5665028
91.8960539,25.5617338
91.8999525,25.565506
94.9159594,27.4517846
95.0683181,27.7490251
93.0833668,24.8098825
93.0740025,24.8147882
93.0389324,24.835823
91.8767893,25.5718863
91.2069169,23.8753926
91.8769478,25.57822
91.8730472,25.5921655
91.8770076,25.5782293
91.882433,25.5765689
91.9392154,25.5918538
91.5782753,24.0930317
91.7539031,26.1854327
93.1137029,24.8036564
94.8879505,27.1465057
94.9161357,27.1791069
94.8971112,27.4777792
92.7423453,26.4076423
92.7412026,26.4149449
92.7301307,23.7548491
93.7421572,27.1315649
93.7421103,27.130772
93.7314841,27.1269895
91.6123143,26.0980658
95.3170327,27.4767859
95.3193046,27.4769806
95.3112223,27.4772127
95.3533053,27.4858861
95.2305802,27.4968187
95.2251728,27.4982559
95.8744406,27.666557
95.5186116,27.8886247
92.6879787,26.8089455
92.6791044,26.8188742
